,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size
0,1,0,0.5808752005795638,0.78105,25.155843019485474,35.09808802604675,0.01,100
1,1,0,0.9866887726883093,0.8492,24.690674304962158,60.07831072807312,0.01,100
2,1,0,1.3537116291373967,0.86345,26.064751625061035,86.40336775779724,0.01,100
3,1,0,1.7088673445334037,0.86855,24.56432557106018,111.22356390953064,0.01,100
4,1,0,2.0530174869298934,0.87225,25.953752994537354,137.4565668106079,0.01,100
5,2,0,3.342941230336825,0.50355,17.04259467124939,19.806788206100464,0.01,2000
6,2,0,3.996362079977989,0.7481333333333333,16.397586584091187,36.44971299171448,0.01,2000
7,2,0,4.517981235980987,0.80035,16.266244173049927,53.02011179924011,0.01,2000
8,2,0,4.975091834664345,0.8320166666666666,16.195749759674072,69.48015546798706,0.01,2000
9,2,0,5.390819203654925,0.8471333333333333,16.355875492095947,86.103355884552,0.01,2000
